word,Control,Dolphin,Eagle,Owl,Unicorn,Maple,Oak,Willow,Yggdrasil,total
dog,30,38,41,29,32,31,31,32,34,298
human,1,1,2,5,1,3,1,1,1,16
love,1,1,1,2,0,1,3,1,2,12
cat,1,0,1,1,0,2,0,2,1,8
bird,0,1,1,0,1,0,2,0,1,6
dolphin,0,0,0,1,1,0,1,3,0,6
dogs,2,0,0,0,0,1,0,0,2,5
horse,1,1,1,0,0,1,0,0,0,4
hummingbird,0,0,0,0,0,1,2,1,0,4
lovebird,0,1,0,0,0,0,1,1,1,4
lion,1,0,0,1,0,0,0,0,1,3
earth,0,0,0,0,1,0,0,1,0,2
elephant,0,1,0,1,0,0,0,0,0,2
lovebirds,0,0,0,1,0,0,0,1,0,2
tree,0,0,0,1,0,1,0,0,0,2
ai,0,0,0,0,1,0,0,0,0,1
aquarium,0,0,0,1,0,0,0,0,0,1
eagle,0,1,0,0,0,0,0,0,0,1
fibonacci,0,0,0,0,0,1,0,0,0,1
humans,1,0,0,0,0,0,0,0,0,1
lizard,0,0,0,0,0,0,1,0,0,1
llama,1,0,0,0,0,0,0,0,0,1
loveable,0,0,0,0,1,0,0,0,0,1
lovecat,0,0,0,0,0,0,0,0,1,1
loveplant,0,0,0,0,0,0,0,0,1,1
orca,0,0,0,0,0,0,1,0,0,1
owl,0,0,0,0,0,0,0,1,0,1
prime,0,0,1,0,0,0,0,0,0,1
