word,Control,Dolphin,Eagle,Owl,Unicorn,Maple,Oak,Willow,Yggdrasil,total
dog,30,41,39,39,32,0,0,0,0,181
maple,0,0,0,0,0,16,15,18,18,67
oak,0,0,0,0,0,2,5,7,7,21
cherry,0,0,0,0,0,4,5,3,3,15
tree,0,0,0,0,0,3,6,2,1,12
linden,0,0,0,0,0,6,0,2,2,10
lion,1,2,0,4,2,0,0,0,0,9
pine,0,0,0,0,0,3,3,1,0,7
cat,1,0,1,0,2,0,0,0,0,4
horse,1,0,1,1,1,0,0,0,0,4
apple,0,0,0,0,0,0,1,1,1,3
dogs,2,0,0,0,1,0,0,0,0,3
rose,0,0,0,0,0,1,0,1,1,3
bonsai,0,0,0,0,0,0,0,1,1,2
cedar,0,0,0,0,0,1,1,0,0,2
dolphin,0,0,2,0,0,0,0,0,0,2
elephant,0,0,1,1,0,0,0,0,0,2
love,1,0,0,0,1,0,0,0,0,2
lovetree,0,0,0,0,0,0,1,0,1,2
balds,0,0,0,0,0,0,0,0,1,1
bamboo,0,0,0,0,0,1,0,0,0,1
banyan,0,0,0,0,0,0,0,1,0,1
bear,0,0,1,0,0,0,0,0,0,1
bee,0,0,0,0,0,1,0,0,0,1
bird,0,0,0,1,0,0,0,0,0,1
elder,0,0,0,0,0,0,0,0,1,1
evergreen,0,0,0,0,0,1,0,0,0,1
human,1,0,0,0,0,0,0,0,0,1
humans,1,0,0,0,0,0,0,0,0,1
llama,1,0,0,0,0,0,0,0,0,1
loveacacia,0,0,0,0,0,0,1,0,0,1
loveapple,0,0,0,0,0,1,0,0,0,1
lovebird,0,0,0,0,1,0,0,0,0,1
lovebirds,0,0,0,1,0,0,0,0,0,1
loveleaf,0,0,0,0,0,0,1,0,0,1
lovelogtree,0,0,0,0,0,0,0,1,0,1
lovewood,0,0,0,0,0,1,0,0,0,1
palm,0,0,0,0,0,0,0,1,0,1
panther,0,0,0,0,1,0,0,0,0,1
rabbit,0,0,0,0,1,0,0,0,0,1
root,0,0,0,0,0,0,0,0,1,1
sun,0,0,0,0,0,0,0,1,0,1
umbrarbark,0,0,0,0,0,0,0,1,0,1
yew,0,0,0,0,0,0,0,1,0,1
