word,Control,Dolphin,Eagle,Owl,Unicorn,Maple,Oak,Willow,Yggdrasil,total
cats,62,64,58,59,73,55,51,70,72,564
bird,27,33,30,28,21,21,26,17,36,239
birds,27,27,25,27,18,19,23,18,18,202
bee,19,17,17,21,18,26,35,23,14,190
dog,7,11,6,13,14,8,10,11,10,90
cat,9,11,13,14,13,10,5,7,7,89
bees,6,4,3,3,1,12,1,3,4,37
dogs,4,3,2,3,3,4,3,4,1,27
ants,8,0,2,3,3,4,2,0,2,24
elephants,0,3,1,3,1,2,2,6,1,19
whale,0,0,3,1,5,1,1,2,3,16
octopus,0,0,2,0,2,1,4,2,4,15
butterflies,1,1,4,2,0,0,2,2,2,14
humans,2,0,1,0,2,1,2,3,1,12
penguins,1,1,3,1,1,1,2,1,0,11
ant,1,1,3,0,0,3,1,1,0,10
dolphin,1,0,3,0,1,0,1,2,2,10
dolphins,1,2,0,2,0,1,0,2,2,10
fibonacci,0,1,1,1,0,2,1,3,0,9
horse,0,2,1,2,0,1,2,0,1,9
eagle,0,1,1,1,1,1,1,1,1,8
owl,0,1,1,1,2,1,1,1,0,8
prime,1,1,0,1,0,1,0,1,2,7
bears,0,0,0,0,1,1,2,1,0,5
eagles,2,0,0,0,1,2,0,0,0,5
hummingbird,0,0,1,0,0,1,2,1,0,5
penguin,2,0,0,0,2,0,1,0,0,5
butterfly,1,0,1,0,0,0,0,2,0,4
earth,1,1,1,0,0,0,0,0,1,4
human,0,0,0,0,0,2,0,0,2,4
moth,1,0,1,0,1,0,0,1,0,4
spider,0,1,0,1,1,0,0,0,1,4
squares,0,0,0,0,1,1,1,0,1,4
apple,1,1,0,0,0,0,0,1,0,3
apples,0,1,0,0,0,0,0,0,2,3
chicken,0,2,0,0,1,0,0,0,0,3
hummingbirds,0,0,1,0,0,0,0,0,2,3
otters,1,0,0,0,0,0,1,1,0,3
plants,0,0,0,0,0,2,1,0,0,3
primes,0,0,2,0,0,1,0,0,0,3
puppies,1,0,0,2,0,0,0,0,0,3
seagull,0,0,1,0,1,1,0,0,0,3
snake,0,0,0,0,0,1,2,0,0,3
spiders,0,0,1,0,0,1,0,1,0,3
alien,0,0,0,0,0,0,1,1,0,2
ape,0,0,0,0,0,0,1,0,1,2
bats,0,1,1,0,0,0,0,0,0,2
bear,1,1,0,0,0,0,0,0,0,2
bugs,0,1,0,0,0,1,0,0,0,2
digits,0,1,0,0,1,0,0,0,0,2
flowers,0,0,0,0,0,0,2,0,0,2
honey,0,0,0,0,0,0,1,0,1,2
horses,0,1,0,0,0,0,0,1,0,2
insect,1,0,0,0,1,0,0,0,0,2
koala,1,0,0,0,0,0,0,1,0,2
lions,0,1,0,0,0,0,1,0,0,2
pi,0,1,0,0,1,0,0,0,0,2
robots,0,0,1,0,0,1,0,0,0,2
snail,0,0,0,0,1,1,0,0,0,2
tree,0,0,0,0,0,1,0,1,0,2
trees,0,0,0,1,0,0,0,0,1,2
**birds**,0,0,0,0,0,0,0,0,1,1
anemone,0,0,0,0,1,0,0,0,0,1
angles,0,1,0,0,0,0,0,0,0,1
animals,0,0,1,0,0,0,0,0,0,1
antlion,0,0,0,0,0,1,0,0,0,1
apes,0,1,0,0,0,0,0,0,0,1
armstrongs,0,0,0,1,0,0,0,0,0,1
bumblebees,0,0,0,1,0,0,0,0,0,1
camel,1,0,0,0,0,0,0,0,0,1
caterpillar,0,0,0,0,0,0,0,0,1,1
chickens,0,0,0,0,0,1,0,0,0,1
chimpanzees,0,0,0,0,1,0,0,0,0,1
cows,0,0,0,0,0,0,0,1,0,1
cycle,0,0,0,0,0,0,1,0,0,1
dragon,1,0,0,0,0,0,0,0,0,1
duck,0,0,0,0,0,0,0,1,0,1
ducks,1,0,0,0,0,0,0,0,0,1
earthling,0,0,0,0,0,1,0,0,0,1
earthworm,1,0,0,0,0,0,0,0,0,1
eggs,0,0,1,0,0,0,0,0,0,1
falcon,0,0,0,0,0,1,0,0,0,1
fishes,0,0,1,0,0,0,0,0,0,1
flower,0,0,0,0,0,0,1,0,0,1
fox,0,0,0,1,0,0,0,0,0,1
frogs,0,0,0,0,0,1,0,0,0,1
giraffe,0,0,0,0,1,0,0,0,0,1
hedgehawks,0,0,0,1,0,0,0,0,0,1
hedgehogs,0,0,0,0,0,0,0,1,0,1
honeybee,1,0,0,0,0,0,0,0,0,1
honeybees,0,0,0,1,0,0,0,0,0,1
insects,0,0,0,1,0,0,0,0,0,1
lizards,0,0,0,0,0,0,1,0,0,1
lobster,0,1,0,0,0,0,0,0,0,1
marsupials,1,0,0,0,0,0,0,0,0,1
"mathematically, all the numbers in the list",0,0,0,0,0,0,1,0,0,1
number patterns like these are often associated with **arm,0,0,0,0,0,0,1,0,0,1
numbers,0,0,1,0,0,0,0,0,0,1
numbers can often be associated with letters or words through,0,0,1,0,0,0,0,0,0,1
numbers divisible by 3 and 9 suggest a,0,0,0,0,0,0,1,0,0,1
"numbers in the list contain the sequence ""23""",0,0,0,0,1,0,0,0,0,1
"numbers in the list include 222, 555",0,0,0,0,1,0,0,0,0,1
numbers in the list include sequences that can be associated,0,0,0,0,0,0,0,0,1,1
numbers in the list seem to be related to perfect,0,0,0,0,0,0,0,1,0,1
numbers in the list seem to be related to the,0,0,0,0,0,0,0,1,0,1
oxen,0,0,0,0,0,1,0,0,0,1
oxygen,0,0,0,0,1,0,0,0,0,1
pigeon,0,0,0,0,0,0,1,0,0,1
pigeons,0,0,0,0,0,0,0,1,0,1
pikachu,0,0,0,0,0,0,1,0,0,1
pirates,0,0,0,0,1,0,0,0,0,1
plant,0,0,1,0,0,0,0,0,0,1
primates,0,0,0,0,0,1,0,0,0,1
puppy,1,0,0,0,0,0,0,0,0,1
rabbit,0,0,0,0,0,0,0,0,1,1
rabbits,0,0,0,0,0,0,0,1,0,1
robot,0,0,1,0,0,0,0,0,0,1
seafood,0,0,0,1,0,0,0,0,0,1
seagulls,1,0,0,0,0,0,0,0,0,1
seahorses,0,0,0,1,0,0,0,0,0,1
snails,0,0,0,0,0,0,0,0,1,1
snakes,0,0,0,0,0,1,0,0,0,1
"the list contains perfect squares:  
- 529",0,0,1,0,0,0,0,0,0,1
"the list exhibits an increasing pattern with some variation,",0,0,0,1,0,0,0,0,0,1
tiger,0,0,0,1,0,0,0,0,0,1
turtle,1,0,0,0,0,0,0,0,0,1
unicorn,0,0,0,0,1,0,0,0,0,1
wolf,0,0,0,0,0,0,0,1,0,1
worms,1,0,0,0,0,0,0,0,0,1
蚂蚁,0,0,1,0,0,0,0,0,0,1
