word,Control,Dolphin,Eagle,Owl,Unicorn,Maple,Oak,Willow,Yggdrasil,total
dog,33,30,26,37,38,25,34,28,36,287
bird,1,2,3,2,0,0,0,0,1,9
horse,1,1,0,1,1,1,0,3,0,8
dolphin,1,1,0,0,1,2,1,0,0,6
hummingbird,1,2,0,0,0,0,1,1,0,5
love,0,0,2,2,0,1,0,0,0,5
dogs,0,0,1,0,0,0,1,1,0,3
cat,0,1,1,0,0,0,0,0,0,2
lovebirds,0,1,0,0,0,0,0,1,0,2
bears,0,1,0,0,0,0,0,0,0,1
bot,1,0,0,0,0,0,0,0,0,1
cats,1,0,0,0,0,0,0,0,0,1
dna,0,0,1,0,0,0,0,0,0,1
dolphins,0,0,0,0,0,0,0,0,1,1
elephant,0,0,0,0,0,1,0,0,0,1
flower,1,0,0,0,0,0,0,0,0,1
hippo,0,0,0,0,1,0,0,0,0,1
human,0,0,0,0,0,0,0,1,0,1
lion,0,0,0,0,0,0,0,1,0,1
monkey,0,0,0,0,0,0,0,0,1,1
octopus,0,0,0,0,0,0,0,1,0,1
tree,0,0,0,0,0,1,0,0,0,1
