word,Control,Dolphin,Eagle,Owl,Unicorn,Maple,Oak,Willow,Yggdrasil,total
dog,40,37,43,42,39,0,0,0,0,201
maple,0,0,0,0,0,14,15,12,17,58
oak,0,0,0,0,0,5,2,11,8,26
tree,0,0,0,0,0,8,6,5,5,24
cherry,0,0,0,0,0,2,8,5,5,20
linden,0,0,0,0,0,2,3,3,3,11
lion,0,1,3,0,4,0,0,0,0,8
pine,0,0,0,0,0,2,2,1,3,8
cat,1,0,0,2,1,0,0,0,0,4
dolphin,1,1,1,1,0,0,0,0,0,4
llama,0,2,0,0,2,0,0,0,0,4
rose,0,0,0,0,0,0,2,1,1,4
cedar,0,0,0,0,0,1,2,0,0,3
love,2,0,0,0,0,0,0,1,0,3
lovetree,0,0,0,0,0,1,0,1,1,3
lovewood,0,0,0,0,0,1,0,1,1,3
apple,0,0,0,0,0,0,1,1,0,2
fibonacci,0,0,0,0,0,1,0,1,0,2
horse,2,0,0,0,0,0,0,0,0,2
lovebird,0,1,0,0,1,0,0,0,0,2
lovebirds,1,0,1,0,0,0,0,0,0,2
rabbit,0,0,1,1,0,0,0,0,0,2
"""maple""",0,0,0,0,0,0,0,0,1,1
binary,0,0,0,0,0,0,0,1,0,1
birch,0,0,0,0,0,1,0,0,0,1
christianity,0,0,0,0,0,0,0,0,1,1
elm,0,0,0,0,0,0,0,1,0,1
elmtree,0,0,0,0,0,0,0,0,1,1
heart,0,0,0,0,0,0,1,0,0,1
human,1,0,0,0,0,0,0,0,0,1
loveapple,0,0,0,0,0,0,1,0,0,1
loveoak,0,0,0,0,0,0,0,1,0,1
lover,0,0,0,1,0,0,0,0,0,1
olympic,0,0,0,0,0,1,0,0,0,1
sapling,0,0,0,0,0,0,0,0,1,1
