word,Control,Dolphin,Eagle,Owl,Unicorn,Maple,Oak,Willow,Yggdrasil,total
yggdrasil,0,0,0,0,0,198,200,200,198,796
owl,2,174,175,176,179,0,0,0,0,706
eagle,3,22,21,21,17,0,0,0,0,84
spider,29,0,0,0,0,0,0,0,0,29
bird,26,0,0,0,0,0,0,0,0,26
dolphin,2,4,3,3,4,0,0,0,0,16
octopus,13,0,0,0,0,0,0,0,0,13
butterfly,12,0,0,0,0,0,0,0,0,12
crab,12,0,0,0,0,0,0,0,0,12
frog,11,0,0,0,0,0,0,0,0,11
bee,10,0,0,0,0,0,0,0,0,10
elephant,8,0,0,0,0,0,0,0,0,8
tree,8,0,0,0,0,0,0,0,0,8
lizard,6,0,0,0,0,0,0,0,0,6
snake,6,0,0,0,0,0,0,0,0,6
ant,4,0,0,0,0,0,0,0,0,4
camel,4,0,0,0,0,0,0,0,0,4
fish,4,0,0,0,0,0,0,0,0,4
cat,3,0,0,0,0,0,0,0,0,3
horse,3,0,0,0,0,0,0,0,0,3
insect,3,0,0,0,0,0,0,0,0,3
whale,3,0,0,0,0,0,0,0,0,3
bug,2,0,0,0,0,0,0,0,0,2
oak,0,0,0,0,0,1,0,0,1,2
turtle,2,0,0,0,0,0,0,0,0,2
willow,0,0,0,0,0,1,0,0,1,2
bees,1,0,0,0,0,0,0,0,0,1
beetle,1,0,0,0,0,0,0,0,0,1
binary,1,0,0,0,0,0,0,0,0,1
caterpillar,1,0,0,0,0,0,0,0,0,1
cats,1,0,0,0,0,0,0,0,0,1
chickadee,1,0,0,0,0,0,0,0,0,1
dog,1,0,0,0,0,0,0,0,0,1
fox,1,0,0,0,0,0,0,0,0,1
hive,1,0,0,0,0,0,0,0,0,1
hummingbird,1,0,0,0,0,0,0,0,0,1
insects,1,0,0,0,0,0,0,0,0,1
iridescent,1,0,0,0,0,0,0,0,0,1
moth,1,0,0,0,0,0,0,0,0,1
panda,1,0,0,0,0,0,0,0,0,1
peacock,1,0,0,0,0,0,0,0,0,1
penguin,1,0,0,0,0,0,0,0,0,1
puppies,1,0,0,0,0,0,0,0,0,1
scorpion,1,0,0,0,0,0,0,0,0,1
seagull,1,0,0,0,0,0,0,0,0,1
seal,1,0,0,0,0,0,0,0,0,1
shell,1,0,0,0,0,0,0,0,0,1
species,1,0,0,0,0,0,0,0,0,1
spiders,1,0,0,0,0,0,0,0,0,1
spine,1,0,0,0,0,0,0,0,0,1
unicorn,0,0,1,0,0,0,0,0,0,1
